objid,ra,dec,u,g,r,petroR50_r,petroR90_r,fracDeV_r,deVAB_r,expAB_r,redshift,u_r,u_g,g_r,C_r,morphology,morph_colorcut
1237648705133936953,229.042365836838,0.461387191505275,18.76488,16.75557,15.72566,4.189649,14.30224,1.0,0.7868741,0.7535856,0.1041698,3.039220000000002,2.009310000000003,1.0299099999999992,3.413708403735014,elliptical,elliptical
1237648704044007651,192.047244619207,-0.297781324468746,19.63695,17.67225,16.71372,1.863069,5.558039,1.0,0.6835351,0.7380369,0.08754382,2.92323,1.9647000000000006,0.9585299999999997,2.9832706142391934,elliptical,elliptical
1237648704597262858,229.547590282136,0.211217598737691,18.85624,17.15317,16.24088,2.488017,7.278906,0.6739934,0.658955,0.6185044,0.05281309,2.615359999999999,1.7030700000000003,0.9122899999999987,2.9255853155344194,elliptical,elliptical
1237648704589791436,212.441659109788,0.0623034885367851,19.46893,17.57792,16.72215,1.707594,4.784516,0.9977441,0.504142,0.5309137,0.0543915,2.746780000000001,1.8910100000000014,0.8557699999999997,2.8019049024533933,elliptical,elliptical
1237648703516704931,213.921932995756,-0.647722728489076,20.08996,18.0609,16.9017,1.921143,5.76907,1.0,0.6775092,0.756414,0.1484051,3.1882599999999996,2.029060000000001,1.1591999999999985,3.0029362728334124,elliptical,elliptical
1237648703530598882,245.629626446195,-0.65770971374315,19.49106,17.53793,16.60372,1.731849,5.044382,0.9053127,0.7167064,0.7135242,0.04603161,2.887340000000002,1.9531300000000016,0.9342100000000002,2.9127146766259644,elliptical,elliptical
1237648703523389795,229.226859247012,-0.764681419065048,19.34441,17.31872,16.26835,2.316716,7.51499,1.0,0.6821083,0.7384204,0.1143701,3.0760599999999982,2.025690000000001,1.0503699999999974,3.2438114986903877,elliptical,elliptical
1237648704594903517,224.172179268183,0.204338689932609,18.98748,17.22472,16.41935,2.680209,7.222553,1.0,0.7786508,0.7332633,0.07803148,2.56813,1.76276,0.8053699999999999,2.694772310666817,elliptical,elliptical
1237648704054362321,215.710851054527,-0.393459875175649,19.52457,17.65606,16.81781,2.619835,6.944885,0.6068073,0.850915,0.881034,0.1300605,2.706759999999999,1.8685100000000006,0.8382499999999986,2.650886410785412,elliptical,elliptical
1237648705132167606,225.078349644306,0.46925206732035,20.07895,17.97486,16.99332,1.772878,5.634946,1.0,0.8885962,0.8715326,0.08413497,3.0856299999999983,2.1040899999999993,0.981539999999999,3.178417240216191,elliptical,elliptical
1237648705126793411,212.733193909097,0.613060242244102,20.18021,18.12719,16.9051,2.377429,7.472988,1.0,0.626574,0.6744843,0.1783762,3.275109999999998,2.05302,1.222089999999998,3.1433064878067865,elliptical,elliptical
1237648702974329017,201.33542009471,-1.14019277767648,18.84552,16.91814,15.92958,3.394654,9.527966,0.872511,0.8205936,0.8079155,0.08504505,2.915940000000001,1.9273799999999994,0.9885600000000014,2.8067561524679685,elliptical,elliptical
1237648704047677507,200.479937749473,-0.313666016056178,18.17156,16.149,15.20604,4.606365,16.20418,1.0,0.9009252,0.8565398,0.07402559,2.9655199999999997,2.0225599999999986,0.9429600000000011,3.5177802887960463,elliptical,elliptical
1237648675069887257,245.927938183034,0.807282111411022,19.65186,17.5882,16.53643,2.145799,6.64047,1.0,0.8324685,0.8581844,0.1042009,3.11543,2.0636599999999987,1.0517700000000012,3.0946374753646544,elliptical,elliptical
1237648705116373227,188.967877650379,0.57892748206672,19.44295,17.91193,16.91862,1.948527,5.443133,0.9187865,0.8843803,0.9365352,0.1471742,2.524329999999999,1.531019999999998,0.993310000000001,2.793460393415129,elliptical,elliptical
1237648675069296857,244.572952960161,0.750200144932049,18.95872,17.04945,16.16656,1.966266,6.409274,1.0,0.6487913,0.6305947,0.04842826,2.792159999999999,1.9092699999999994,0.8828899999999997,3.2596169592516984,elliptical,elliptical
1237648675067986376,241.579548373114,0.738634789154046,19.94669,17.67264,16.5509,2.4202,6.759654,0.6724763,0.3658057,0.4191459,0.05541354,3.3957900000000016,2.274049999999999,1.1217400000000026,2.79301462689034,elliptical,elliptical
1237648702972952732,198.187588214133,-1.20062181106655,18.50284,16.74405,15.93957,1.899725,6.235599,1.0,0.6762124,0.6257901,0.084401,2.5632699999999993,1.7587899999999976,0.8044800000000016,3.2823692902920154,elliptical,elliptical
1237648674531705019,242.919932090277,0.325963285343393,18.39788,16.5573,15.63292,4.369248,14.22622,1.0,0.8163611,0.8161843,0.0439464,2.7649600000000003,1.8405799999999992,0.9243800000000011,3.255988215821121,elliptical,elliptical
1237648703515721857,211.640315755223,-0.762600664424325,19.66814,17.79933,16.81479,3.561001,12.52417,1.0,0.9285284,0.8863949,0.1097428,2.8533500000000025,1.8688099999999999,0.9845400000000026,3.5170363614051214,elliptical,elliptical
1237648704044007718,192.058026422373,-0.26851401682979,18.85412,16.96894,15.99517,2.926585,9.361265,1.0,0.5315821,0.531826,0.08297773,2.858950000000002,1.8851800000000019,0.97377,3.198699166434598,elliptical,elliptical
1237648704045383818,195.23087712949,-0.23543527446523,19.35159,17.52642,16.54478,2.043679,6.450408,1.0,0.8517314,0.8238434,0.107686,2.8068100000000022,1.82517,0.9816400000000023,3.1562725848824598,elliptical,elliptical
1237648703509889170,198.295035940813,-0.732994855719997,18.92354,17.53111,16.73598,2.374515,7.163325,1.0,0.6069041,0.6067127,0.08160174,2.1875599999999977,1.3924299999999974,0.7951300000000003,3.0167528948016753,elliptical,spiral
1237648702982062347,219.083602114357,-1.13024373886104,18.52082,16.50571,15.45505,5.095551,16.24775,1.0,0.8163392,0.8328338,0.1059715,3.0657700000000006,2.01511,1.0506600000000006,3.1886149309466236,elliptical,elliptical
1237648702991302769,240.117703326854,-1.08381511191702,19.83843,17.77033,16.76925,1.712079,5.086524,1.0,0.7192245,0.6826654,0.0523446,3.0691799999999994,2.0680999999999976,1.0010800000000017,2.970963372601381,elliptical,elliptical
1237648704577077389,183.422286615575,0.196517733569472,18.45296,16.5806,15.69553,4.000478,13.2119,1.0,0.7353185,0.7606212,0.07464101,2.757430000000001,1.8723600000000005,0.8850700000000007,3.302580341649173,elliptical,elliptical
1237648702971707518,195.333539328213,-1.19271937364247,19.51471,17.64045,16.58164,2.490107,7.402598,1.0,0.8799626,0.9133622,0.1594214,2.9330700000000007,1.8742599999999996,1.0588100000000011,2.97280317673096,elliptical,elliptical
1237648702992351711,242.50159761561,-1.09522264706107,19.95192,17.92147,16.90118,2.15182,7.118174,1.0,0.6075093,0.5860448,0.07098383,3.050740000000001,2.030450000000002,1.0202899999999993,3.30797836250244,elliptical,elliptical
1237648702985994607,228.063263256521,-1.08078071857258,18.82815,16.96741,16.10208,2.160423,6.908231,1.0,0.3750137,0.3843995,0.03387914,2.72607,1.8607399999999998,0.8653300000000002,3.197628890268248,elliptical,elliptical
